document,old_date,new_date,change_type,old_text,new_text,Topic
AI21_PP,20250401190253,20250729000000,modify,,,First-party Data Collection
AI21_PP,20250401190253,20250729000000,add,,To process your feedback and comments Legitimate interest (e.g. to process your feedback when providing proactively by you).,First-party Data Collection
AI21_PP,20250401190253,20250729000000,add,,"Cannot process your feedback When you contact us (e.g. customer support, need help, submit a request) Full name Email address Message Any other information that you decide to provide or supply us with To process and answer questions To provide support (e.g., to solve problems, bugs or issues) Processing is necessary for the performance of a contract to which the data subject is a party (i.e., EULA) or in order to take steps at the request of the data subject prior to entering into a contract Legitimate interest (e.g. respond to your request) Cannot process and answer questionsCannot provide support (e.g., to solve problems, bugs or issues) When you interact with us on our social media profiles (e.g., Facebook, Instagram, Twitter, LinkedIn) Full name Email address Company name Job position Any other information that you decide to provide or supply us with To answer your questions To establish a connection or discussion Depending on the context, legitimate interest (e.g., to answer your questions and/or establish a connection) or consent Cannot answer your questionsCannot establish a connection/discussion Finally, please note that some of the above-mentioned Personal Data will be used for detecting, taking steps to prevent, and prosecution of fraud or other illegal activity, to identify and repair errors, to conduct audits (including, without limitation, bias audits), and for security purposes.",First-party Data Collection
AI21_PP,20250401190253,20250729000000,add,,"Personal Data may also be used to comply with applicable laws, with investigations performed by the relevant authorities, law enforcement purposes, and/or to exercise or defend legal claims. 2.",First-party Data Collection
AI21_PP,20250401190253,20250729000000,add,,CUSTOMER INFORMATION 2.1.,First-party Data Collection
AI21_PP,20250401190253,20250729000000,add,,"For the avoidance of doubt, AI21 processes the Customer Information (defined below) on behalf of the applicable customer.",First-party Data Collection
AI21_PP,20250401190253,20250729000000,add,,"Therefore, the customer is the party responsible for the security, integrity and authorized usage of Customer Information in the context of the services and for obtaining all the necessary consents and permissions and providing all notices required for the collection and usage of such Customer Information and honoring all data subject requests.",First-party Data Collection
AI21_PP,20250401190253,20250729000000,add,,AI21 has a contractual relationship with its customers.,First-party Data Collection
AI21_PP,20250401190253,20250729000000,add,,,First-party Data Collection
AI21_PP,20250401190253,20250729000000,add,,"Customer Information is not regulated by this Privacy Policy, and this paragraph is provided only for transparency purposes.",First-party Data Collection
AI21_PP,20250401190253,20250729000000,add,,"Please note that, as part of providing our Services, the Personal Data will be processed, in whole or in part, by artificial intelligence (AI) systems. 3.",First-party Data Collection
AI21_PP,20250401190253,20250729000000,delete,,,Introductory
AI21_PP,20250401190253,20250729000000,add,,HOW WE PROTECT AND RETAIN YOUR INFORMATION 3.1.,First-party Data Collection
AI21_PP,20250401190253,20250729000000,add,,Security.,Data Security
AI21_PP,20250401190253,20250729000000,add,,"We have implemented appropriate technical, organizational and security measures designed to protect your Personal Data.",Data Security
AI21_PP,20250401190253,20250729000000,add,,"As the security of information depends in part on the security of the computer, device or network you use to communicate with us and the security you use to protect your user IDs and passwords, please make sure to take appropriate measures to protect this information and items. 3.2.",Data Security
AI21_PP,20250401190253,20250729000000,add,,Retention of your Personal Data.,Data Retention
AI21_PP,20250401190253,20250729000000,add,,"Your Personal Data will be stored until we proactively delete it, or you send a valid deletion request.",Data Retention
AI21_PP,20250401190253,20250729000000,add,,Please note that in some circumstances we may store your Personal Data for longer periods of time.,Data Retention
AI21_PP,20250401190253,20250729000000,add,,"These circumstances include: (i) where we are required to do so, for example for compliance with legal and regulatory requirements in accordance with legal, regulatory, tax or accounting requirements, (ii) for us to have an accurate record of your dealings with us in the event of any complaints or challenges, or (iii) if we reasonably believe there is a prospect of litigation relating to your Personal Data or dealings, and/or (iv) in the form of Aggregated Information. 4.",Data Retention
AI21_PP,20250401190253,20250729000000,add,,"HOW WE SHARE YOUR PERSONAL DATA In addition to the recipients described above, we may share your Personal Data as follows: 4.1.",Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,add,,With our corporate affiliates (e.g. parent and subsidiaries within our group) and/or partners; 4.2.,Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,delete,Any capitalized but undefined term in this Privacy Policy shall have the meaning given to it in the Terms.,,Introductory
AI21_PP,20250401190253,20250729000000,add,,"With our vendors and service providers, including: 4.2.1.",Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,add,,Email provider and email distribution 4.2.2.,Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,add,,Website and product hosting 4.2.3.,Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,add,,Payment processor 4.2.4.,Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,add,,Customer engagement 4.2.5.,Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,add,,Customer support 4.2.6.,Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,add,,Product analytics 4.2.7.,Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,add,,Website analytic tools 4.2.8.,Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,add,,Serving and models Platforms 4.2.9.,Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,add,,Business intelligence 4.2.10.,Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,delete,"Consent and Modification.You are not legally obligated to provide us Personal Information, and you hereby confirm that providing us Personal Information is at your own free will.",,User Choice/Control
AI21_PP,20250401190253,20250729000000,add,,,Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,add,,,Model Training
AI21_PP,20250401190253,20250729000000,add,,"To the extent necessary, with regulators, courts or competent authorities, to comply with applicable laws, regulations and rules (including, without limitation, federal, state or local laws), and requests of law enforcement, regulatory and other governmental agencies or if required to do so by court order.",Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,add,,We may use or disclose Personal Data we collect in order to ensure that our users are complying with all applicable aspects of our policies; 4.4.,Third Party Sharing/Collection
AI21_PP,20250401190253,20250729000000,add,,"We may disclose Personal Data with our lawyers, accountants, auditors and other professional advisors where necessary to obtain legal or other advice or otherwise protect and manage our business interests; 4.5.",Third Party Sharing/Collection
