case_hash,occurrence_count,company_a,company_b,representative_text_a,representative_text_b,representative_path_a,representative_path_b,category
0048a5bed15e8892f94d49e1febbbe460b07c0ac,1,Alibaba,Anthropic,"we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to a prompt. if you rate an output in response to a prompt—for example, by using the thumbs up/thumbs down icon—we will store the related conversation as part of your feedback. communication information: if you communicate with us, such as via email or our pages on social media sites, we may collect personal data such as your name, contact information, and the contents of","we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to an input (""feedback""). if you rate an output in response to an input—for example, by using the thumbs up/thumbs down icon—we will store the entire related conversation as part of your feedback. you can learn more about how we use feedback here. communication information: if you communicate with us, including via our chatbot on our help site, we collect your name, contact information, and the contents of",Alibaba_PP\20250425000000\Qwen.txt,Anthropic_PP\20250501000000\privacy.txt,First-party Data Collection
0177eab2cd383c0f82321d21c90ede335455f162,6,OpenAI,xAI,"legal obligations and to protect the rights, privacy, safety, or property of our users, <PROVIDER> , or third parties. we may also aggregate or de-identify personal data so that it no longer identifies you and use this information for the purposes described above, such as to analyze the way our services are being used, to improve and add features to them, and to conduct research. we will maintain and use de-identified information in de-identified form and not attempt to reidentify the information, unless required by law","legal obligations and to protect the rights, privacy, safety, or property of our users, <PROVIDER> , or third-parties. this may include detecting what country you are located in so we can comply with relevant legal obligations. we may also aggregate or de-identify your information so that it no longer identifies you and use this information for the purposes described above, such as to analyze the way our service is being used, to improve and add features to them, and to conduct research. we will maintain and use de-identified information in de-identified form and will not attempt to reidentify the information, unless required by law",OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,xAI_PP\20250215010404\privacy-policy.txt,Identifiability
01aee095c19b52006b175f80f6bcf1beb793eaa2,16,OpenAI,xAI,the right to request deletion of your personal information; the right to,the right to request deletion of your personal information the right to,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20231106075325\privacy-policy.txt,User Access/Edit/Deletion
020935fdbb409afa09dc5e7142254bb788ca9b5e,110,Anthropic,Mistral,have the right to request a copy of,have the right to request a copy of,Anthropic_old_PP\20230309171545\legal.txt,Mistral_old_PP\20231211094117\Policy.txt,User Access/Edit/Deletion
02a55191ae6267ff4d0ef6569752753ee06b4b21,3,DeepSeek,OpenAI,the features you use and the actions you take. usage information device information. we collect certain information about the device you use to access the,"the features you use and the actions you take, as well as your time zone, country, the dates and times of access, user agent and version, type of computer or mobile device, and your computer connection. device information: we collect information about the device you use to access the",DeepSeek_old_PP\20240323213732\DeepSeek%20Privacy%20Policy.txt,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,First-party Data Collection
02b353dd15b0ad28ba77f8f6fba6c87869c7f8e9,32,Anthropic,xAI,interests and rights do not override our interests,interests and rights do not override our interests,Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20241110065240\privacy-policy.txt,Other
02d651d8e6bb6e6b3ef507e1b8a386586670cfe1,16,DeepSeek,OpenAI,"however, no internet or email transmission is ever fully secure or error free. in particular, email sent to or from us may not be secure. therefore, you should take special care in deciding what information you send to us via the service or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or","however, no internet or email transmission is ever fully secure or error free. in particular, email sent to or from us may not be secure. therefore, you should take special care in deciding what information you send to us via the service or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or",DeepSeek_old_PP\20240520220020\DeepSeek%20Privacy%20Policy.txt,OpenAI_PP\20230314210410\privacy-policy.txt,Data Security
03dcc4dca77a6a781a99aa2db97b8ee47bf6a54c,3,Alibaba,OpenAI,with legal obligations and to protect the rights,"with legal obligations and to protect the rights, privacy, safety, or property of our users, us, our affiliates, or any third party to comply with legal obligations and to protect the rights",Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Third-Party Sharing/Collection
0416a96266922598b5e8abb513129a654494c61e,1,ByteDance,DeepSeek,we may share your personal information with third,we may share your personal information with third,ByteDance_doubao_PP\20240529154215\privacy-policy.txt,DeepSeek_old_PP\20231208073102\DeepSeek%20Privacy%20Policy.txt,Third-Party Sharing/Collection
042d51aee1a5afa1d444c05286c466133bfba76b,44,Anthropic,xAI,subject to certain exceptions. please note that we,subject to certain exceptions.please note that we,Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20250124023459\privacy-policy.txt,Other
