company_a,company_b,representative_text_a,representative_text_b,representative_path_a,representative_path_b,category
Alibaba,Anthropic,"we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to a prompt. if you rate an output in response to a prompt—for example, by using the thumbs up/thumbs down icon—we will store the related conversation as part of your feedback. communication information: if you communicate with us, such as via email or our pages on social media sites, we may collect personal data such as your name, contact information, and the contents of","we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to an input (""feedback""). if you rate an output in response to an input—for example, by using the thumbs up/thumbs down icon—we will store the entire related conversation as part of your feedback. you can learn more about how we use feedback here. communication information: if you communicate with us, including via our chatbot on our help site, we collect your name, contact information, and the contents of",privacy_policies/new_unique_text_PP/Alibaba_PP/20250425000000/Qwen.txt,privacy_policies/new_unique_text_PP/Anthropic_PP/20250501000000/privacy.txt,First-party Data Collection
DeepSeek,OpenAI,about the device you use to access the,about the device you use to access the,privacy_policies/new_unique_text_PP/DeepSeek_old_PP/20240323213732/DeepSeek%20Privacy%20Policy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20260210054215/index.txt,First-party Data Collection
OpenAI,xAI,"legal obligations and to protect the rights, privacy, safety, or property of our users, <PROVIDER> , or third parties. we may also aggregate or de-identify personal data so that it no longer identifies you and use this information for the purposes described above, such as to analyze the way our services are being used, to improve and add features to them, and to conduct research. we will maintain and use de-identified information in de-identified form and not attempt to reidentify the information, unless required by law","legal obligations and to protect the rights, privacy, safety, or property of our users, <PROVIDER> , or third-parties. this may include detecting what country you are located in so we can comply with relevant legal obligations. we may also aggregate or de-identify your information so that it no longer identifies you and use this information for the purposes described above, such as to analyze the way our service is being used, to improve and add features to them, and to conduct research. we will maintain and use de-identified information in de-identified form and will not attempt to reidentify the information, unless required by law",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250215010404/privacy-policy.txt,Identifiability
Cohere,OpenAI,"we use this information for the following purposes, as described above: provide, analyze and maintain","we use this information for the following purposes, as described above: provide, analyze, and maintain",privacy_policies/new_unique_text_PP/Cohere_PP/20260412090021/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20241203173911/privacy-policy.txt,Other
OpenAI,xAI,the right to request deletion of your personal information; the right to,the right to request deletion of your personal information the right to,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20231106075325/privacy-policy.txt,"User Access, Edit and Deletion"
Anthropic,Mistral,have the right to request a copy of,have the right to request a copy of,privacy_policies/new_unique_text_PP/Anthropic_old_PP/20230309171545/legal.txt,privacy_policies/new_unique_text_PP/Mistral_old_PP/20231211094117/Policy.txt,"User Access, Edit and Deletion"
DeepSeek,OpenAI,the features you use and the actions you take. usage information device information. we collect certain information about the device you use to access the,"the features you use and the actions you take, as well as your time zone, country, the dates and times of access, user agent and version, type of computer or mobile device, and your computer connection. device information: we collect information about the device you use to access the",privacy_policies/new_unique_text_PP/DeepSeek_old_PP/20240323213732/DeepSeek%20Privacy%20Policy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,First-party Data Collection
Anthropic,xAI,interests and rights do not override our interests,interests and rights do not override our interests,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,Other
DeepSeek,OpenAI,"however, no internet or email transmission is ever fully secure or error free. in particular, email sent to or from us may not be secure. therefore, you should take special care in deciding what information you send to us via the service or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or","however, no internet or email transmission is ever fully secure or error free. in particular, email sent to or from us may not be secure. therefore, you should take special care in deciding what information you send to us via the service or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or",privacy_policies/new_unique_text_PP/DeepSeek_old_PP/20240520220020/DeepSeek%20Privacy%20Policy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20230314210410/privacy-policy.txt,Data Security
Alibaba,OpenAI,with legal obligations and to protect the rights,"with legal obligations and to protect the rights, privacy, safety, or property of our users, us, our affiliates, or any third party to comply with legal obligations and to protect the rights",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Third Party Sharing/Collection
